vrsta;starostna skupina;leto;spol;vrednost
Priseljeni iz tujine; ;;;
Priseljeni iz tujine;;;;
Priseljeni iz tujine; SKUPAJ;;;
 ; ; ;Moški;58
 ; ; ;Ženske;51
 ; ;2007;;
 ; ; ;Moški;57
 ; ; ;Ženske;74
 ; ;2008;;
 ; ; ;Moški;84
 ; ; ;Ženske;104
 ; ;2009;;
 ; ; ;Moški;75
 ; ; ;Ženske;78
 ; ;2010;;
 ; ; ;Moški;74
 ; ; ;Ženske;73
 ; ;2011;;
 ; ; ;Moški;95
 ; ; ;Ženske;69
 ; ;2012;;
 ; ; ;Moški;84
 ; ; ;Ženske;65
 ; ;2013;;
 ; ; ;Moški;80
 ; ; ;Ženske;53
 ; ;2014;;
 ; ; ;Moški;77
 ; ; ;Ženske;66
 ; ;2015;;
 ; ; ;Moški;71
 ; ; ;Ženske;55
 ;75-79 let;;;
 ; ;2000;;
 ; ; ;Moški;10
 ; ; ;Ženske;16
 ; ;2001;;
 ; ; ;Moški;21
 ; ; ;Ženske;22
 ; ;2002;;
 ; ; ;Moški;27
 ; ; ;Ženske;42
 ; ;2003;;
 ; ; ;Moški;16
 ; ; ;Ženske;37
 ; ;2004;;
 ; ; ;Moški;25
 ; ; ;Ženske;16
 ; ;2005;;
 ; ; ;Moški;31
 ; ; ;Ženske;42
 ; ;2006;;
 ; ; ;Moški;32
 ; ; ;Ženske;39
 ; ;2007;;
 ; ; ;Moški;32
 ; ; ;Ženske;39
 ; ;2008;;
 ; ; ;Moški;55
 ; ; ;Ženske;62
 ; ;2009;;
 ; ; ;Moški;41
 ; ; ;Ženske;49
 ; ;2010;;
 ; ; ;Moški;48
 ; ; ;Ženske;49
 ; ;2011;;
 ; ; ;Moški;53
 ; ; ;Ženske;61
 ; ;2012;;
 ; ; ;Moški;33
 ; ; ;Ženske;37
 ; ;2013;;
 ; ; ;Moški;34
 ; ; ;Ženske;54
 ; ;2014;;
 ; ; ;Moški;61
 ; ; ;Ženske;46
 ; ;2015;;
 ; ; ;Moški;45
 ; ; ;Ženske;39
 ;80-84 let;;;
 ; ;2000;;
 ; ; ;Moški;3
 ; ; ;Ženske;14
 ; ;2001;;
 ; ; ;Moški;5
 ; ; ;Ženske;7
 ; ;2002;;
 ; ; ;Moški;10
 ; ; ;Ženske;17
 ; ;2003;;
 ; ; ;Moški;11
 ; ; ;Ženske;19
 ; ;2004;;
 ; ; ;Moški;5
 ; ; ;Ženske;15
 ; ;2005;;
 ; ; ;Moški;12
 ; ; ;Ženske;20
 ; ;2006;;
 ; ; ;Moški;18
 ; ; ;Ženske;18
 ; ;2007;;
 ; ; ;Moški;16
 ; ; ;Ženske;22
 ; ;2008;;
 ; ; ;Moški;32
 ; ; ;Ženske;43
 ; ;2009;;
 ; ; ;Moški;25
 ; ; ;Ženske;37
 ; ;2010;;
 ; ; ;Moški;20
 ; ; ;Ženske;41
 ; ;2011;;
 ; ; ;Moški;19
 ; ; ;Ženske;40
 ; ;2012;;
 ; ; ;Moški;24
 ; ; ;Ženske;34
 ; ;2013;;
 ; ; ;Moški;21
 ; ; ;Ženske;29
 ; ;2014;;
 ; ; ;Moški;22
 ; ; ;Ženske;21
 ; ;2015;;
 ; ; ;Moški;25
 ; ; ;Ženske;25
 ;85 + let;;;
 ; ;2000;;
 ; ; ;Moški;2
 ; ; ;Ženske;9
 ; ;2001;;
 ; ; ;Moški;2
 ; ; ;Ženske;7
 ; ;2002;;
 ; ; ;Moški;5
 ; ; ;Ženske;15
 ; ;2003;;
 ; ; ;Moški;4
 ; ; ;Ženske;18
 ; ;2004;;
 ; ; ;Moški;2
 ; ; ;Ženske;7
 ; ;2005;;
 ; ; ;Moški;4
 ; ; ;Ženske;17
 ; ;2006;;
 ; ; ;Moški;5
 ; ; ;Ženske;9
 ; ;2007;;
 ; ; ;Moški;13
 ; ; ;Ženske;17
 ; ;2008;;
 ; ; ;Moški;9
 ; ; ;Ženske;37
 ; ;2009;;
 ; ; ;Moški;20
 ; ; ;Ženske;32
 ; ;2010;;
 ; ; ;Moški;14
 ; ; ;Ženske;41
 ; ;2011;;
 ; ; ;Moški;13
 ; ; ;Ženske;32
 ; ;2012;;
 ; ; ;Moški;12
 ; ; ;Ženske;31
 ; ;2013;;
 ; ; ;Moški;11
 ; ; ;Ženske;29
 ; ;2014;;
 ; ; ;Moški;7
 ; ; ;Ženske;29
 ; ;2015;;
 ; ; ;Moški;17
 ; ; ;Ženske;27
Odseljeni v tujino;;;;
 ;Starostne skupine - SKUPAJ;;;
 ; ;2000;;
 ; ; ;Moški;2376
 ; ; ;Ženske;1194
 ; ;2001;;
 ; ; ;Moški;3503
 ; ; ;Ženske;1308
 ; ;2002;;
 ; ; ;Moški;4596
 ; ; ;Ženske;2673
 ; ;2003;;
 ; ; ;Moški;3444
 ; ; ;Ženske;2423
 ; ;2004;;
 ; ; ;Moški;6061
 ; ; ;Ženske;2208
 ; ;2005;;
 ; ; ;Moški;6659
 ; ; ;Ženske;1946
 ; ;2006;;
 ; ; ;Moški;10725
 ; ; ;Ženske;3024
 ; ;2007;;
 ; ; ;Moški;10696
 ; ; ;Ženske;4247
 ; ;2008;;
 ; ; ;Moški;8190
 ; ; ;Ženske;3919
 ; ;2009;;
 ; ; ;Moški;14816
 ; ; ;Ženske;3972
 ; ;2010;;
 ; ; ;Moški;11586
 ; ; ;Ženske;4351
 ; ;2011;;
 ; ; ;Moški;8151
 ; ; ;Ženske;3873
 ; ;2012;;
 ; ; ;Moški;8699
 ; ; ;Ženske;5679
 ; ;2013;;
 ; ; ;Moški;7902
 ; ; ;Ženske;5482
 ; ;2014;;
 ; ; ;Moški;8609
 ; ; ;Ženske;5727
 ; ;2015;;
 ; ; ;Moški;8976
 ; ; ;Ženske;5937
 ;0-4 let;;;
 ; ;2000;;
 ; ; ;Moški;44
 ; ; ;Ženske;31
 ; ;2001;;
 ; ; ;Moški;39
 ; ; ;Ženske;49
 ; ;2002;;
 ; ; ;Moški;90
 ; ; ;Ženske;62
 ; ;2003;;
 ; ; ;Moški;87
 ; ; ;Ženske;70
 ; ;2004;;
 ; ; ;Moški;97
 ; ; ;Ženske;84
 ; ;2005;;
 ; ; ;Moški;81
 ; ; ;Ženske;61
 ; ;2006;;
 ; ; ;Moški;136
 ; ; ;Ženske;126
 ; ;2007;;
 ; ; ;Moški;181
 ; ; ;Ženske;167
 ; ;2008;;
 ; ; ;Moški;108
 ; ; ;Ženske;94
 ; ;2009;;
 ; ; ;Moški;169
 ; ; ;Ženske;141
 ; ;2010;;
 ; ; ;Moški;278
 ; ; ;Ženske;275
 ; ;2011;;
 ; ; ;Moški;227
 ; ; ;Ženske;225
 ; ;2012;;
 ; ; ;Moški;265
 ; ; ;Ženske;253
 ; ;2013;;
 ; ; ;Moški;312
 ; ; ;Ženske;300
 ; ;2014;;
 ; ; ;Moški;389
 ; ; ;Ženske;337
 ; ;2015;;
 ; ; ;Moški;418
 ; ; ;Ženske;347
 ;5-9 let;;;
 ; ;2000;;
 ; ; ;Moški;61
 ; ; ;Ženske;49
 ; ;2001;;
 ; ; ;Moški;57
 ; ; ;Ženske;42
 ; ;2002;;
 ; ; ;Moški;81
 ; ; ;Ženske;71
 ; ;2003;;
 ; ; ;Moški;69
 ; ; ;Ženske;65
 ; ;2004;;
 ; ; ;Moški;69
 ; ; ;Ženske;69
 ; ;2005;;
 ; ; ;Moški;58
 ; ; ;Ženske;64
 ; ;2006;;
 ; ; ;Moški;111
 ; ; ;Ženske;97
 ; ;2007;;
 ; ; ;Moški;138
 ; ; ;Ženske;142
 ; ;2008;;
 ; ; ;Moški;139
 ; ; ;Ženske;146
 ; ;2009;;
 ; ; ;Moški;195
 ; ; ;Ženske;171
 ; ;2010;;
 ; ; ;Moški;185
 ; ; ;Ženske;160
 ; ;2011;;
 ; ; ;Moški;182
 ; ; ;Ženske;137
 ; ;2012;;
 ; ; ;Moški;240
 ; ; ;Ženske;227
 ; ;2013;;
 ; ; ;Moški;259
 ; ; ;Ženske;257
 ; ;2014;;
 ; ; ;Moški;315
 ; ; ;Ženske;302
 ; ;2015;;
 ; ; ;Moški;338
 ; ; ;Ženske;332
 ;10-14 let;;;
 ; ;2000;;
 ; ; ;Moški;80
 ; ; ;Ženske;48
 ; ;2001;;
 ; ; ;Moški;64
 ; ; ;Ženske;38
 ; ;2002;;
 ; ; ;Moški;61
 ; ; ;Ženske;76
 ; ;2003;;
 ; ; ;Moški;62
 ; ; ;Ženske;52
 ; ;2004;;
 ; ; ;Moški;38
 ; ; ;Ženske;56
 ; ;2005;;
 ; ; ;Moški;53
 ; ; ;Ženske;69
 ; ;2006;;
 ; ; ;Moški;95
