Meddržavne selitve po: SELITVE, DRŽAVLJANSTVO, LETO , STATISTIÈNA REGIJA;;;;
;;;;
Priseljeni iz tujine;;;;
Priseljeni iz tujine;Državljani RS;;;
 ; ; ;Gorenjska;960
 ; ; ;Primorsko-kraška;336
 ; ; ;Goriška;696
 ; ; ;Obalno-kraška;1412
 ; ;2013;;
 ; ; ;Pomurska;189
 ; ; ;Podravska;1814
 ; ; ;Koroška;223
 ; ; ;Savinjska;1623
 ; ; ;Zasavska;116
 ; ; ;Posavska;342
 ; ; ;Jugovzhodna Slovenija;545
 ; ; ;Osrednjeslovenska;3784
 ; ; ;Gorenjska;877
 ; ; ;Primorsko-kraška;341
 ; ; ;Goriška;589
 ; ; ;Obalno-kraška;1178
 ; ;2014;;
 ; ; ;Pomurska;258
 ; ; ;Podravska;1712
 ; ; ;Koroška;213
 ; ; ;Savinjska;1283
 ; ; ;Zasavska;104
 ; ; ;Posavska;287
 ; ; ;Jugovzhodna Slovenija;579
 ; ; ;Osrednjeslovenska;3986
 ; ; ;Gorenjska;876
 ; ; ;Primorsko-kraška;318
 ; ; ;Goriška;556
 ; ; ;Obalno-kraška;1139
 ; ;2015;;
 ; ; ;Pomurska;234
 ; ; ;Podravska;1858
 ; ; ;Koroška;237
 ; ; ;Savinjska;1559
 ; ; ;Zasavska;194
 ; ; ;Posavska;378
 ; ; ;Jugovzhodna Slovenija;617
 ; ; ;Osrednjeslovenska;4299
 ; ; ;Gorenjska;989
 ; ; ;Primorsko-kraška;401
 ; ; ;Goriška;656
 ; ; ;Obalno-kraška;1243
Odseljeni v tujino;;;;
 ;Državljani RS;;;
 ; ;2000;;
 ; ; ;Pomurska;100
 ; ; ;Podravska;113
 ; ; ;Koroška;45
 ; ; ;Savinjska;155
 ; ; ;Zasavska;35
 ; ; ;Posavska;37
 ; ; ;Jugovzhodna Slovenija;84
 ; ; ;Osrednjeslovenska;629
 ; ; ;Gorenjska;197
 ; ; ;Primorsko-kraška;38
 ; ; ;Goriška;30
 ; ; ;Obalno-kraška;96
 ; ;2001;;
 ; ; ;Pomurska;95
 ; ; ;Podravska;170
 ; ; ;Koroška;47
 ; ; ;Savinjska;140
 ; ; ;Zasavska;47
 ; ; ;Posavska;74
 ; ; ;Jugovzhodna Slovenija;110
 ; ; ;Osrednjeslovenska;359
 ; ; ;Gorenjska;152
 ; ; ;Primorsko-kraška;35
 ; ; ;Goriška;88
 ; ; ;Obalno-kraška;125
 ; ;2002;;
 ; ; ;Pomurska;190
 ; ; ;Podravska;393
 ; ; ;Koroška;92
 ; ; ;Savinjska;298
 ; ; ;Zasavska;96
 ; ; ;Posavska;101
 ; ; ;Jugovzhodna Slovenija;185
 ; ; ;Osrednjeslovenska;602
 ; ; ;Gorenjska;298
 ; ; ;Primorsko-kraška;64
 ; ; ;Goriška;93
 ; ; ;Obalno-kraška;212
 ; ;2003;;
 ; ; ;Pomurska;121
 ; ; ;Podravska;273
 ; ; ;Koroška;51
 ; ; ;Savinjska;214
 ; ; ;Zasavska;54
 ; ; ;Posavska;69
 ; ; ;Jugovzhodna Slovenija;106
 ; ; ;Osrednjeslovenska;469
 ; ; ;Gorenjska;238
 ; ; ;Primorsko-kraška;58
 ; ; ;Goriška;79
 ; ; ;Obalno-kraška;155
 ; ;2004;;
 ; ; ;Pomurska;119
 ; ; ;Podravska;291
 ; ; ;Koroška;88
 ; ; ;Savinjska;258
 ; ; ;Zasavska;50
 ; ; ;Posavska;85
 ; ; ;Jugovzhodna Slovenija;149
 ; ; ;Osrednjeslovenska;580
 ; ; ;Gorenjska;266
 ; ; ;Primorsko-kraška;54
 ; ; ;Goriška;150
 ; ; ;Obalno-kraška;175
 ; ;2005;;
 ; ; ;Pomurska;124
 ; ; ;Podravska;360
 ; ; ;Koroška;43
 ; ; ;Savinjska;248
 ; ; ;Zasavska;50
 ; ; ;Posavska;64
 ; ; ;Jugovzhodna Slovenija;81
 ; ; ;Osrednjeslovenska;545
 ; ; ;Gorenjska;248
 ; ; ;Primorsko-kraška;38
 ; ; ;Goriška;107
 ; ; ;Obalno-kraška;169
 ; ;2006;;
 ; ; ;Pomurska;194
 ; ; ;Podravska;503
 ; ; ;Koroška;84
 ; ; ;Savinjska;243
 ; ; ;Zasavska;30
 ; ; ;Posavska;112
 ; ; ;Jugovzhodna Slovenija;126
 ; ; ;Osrednjeslovenska;717
 ; ; ;Gorenjska;276
 ; ; ;Primorsko-kraška;50
 ; ; ;Goriška;134
 ; ; ;Obalno-kraška;234
 ; ;2007;;
 ; ; ;Pomurska;284
 ; ; ;Podravska;552
 ; ; ;Koroška;98
 ; ; ;Savinjska;308
 ; ; ;Zasavska;64
 ; ; ;Posavska;145
 ; ; ;Jugovzhodna Slovenija;111
 ; ; ;Osrednjeslovenska;804
 ; ; ;Gorenjska;403
 ; ; ;Primorsko-kraška;94
 ; ; ;Goriška;127
 ; ; ;Obalno-kraška;188
 ; ;2008;;
 ; ; ;Pomurska;252
 ; ; ;Podravska;2109
 ; ; ;Koroška;158
 ; ; ;Savinjska;504
 ; ; ;Zasavska;48
 ; ; ;Posavska;163
 ; ; ;Jugovzhodna Slovenija;140
 ; ; ;Osrednjeslovenska;707
 ; ; ;Gorenjska;303
 ; ; ;Primorsko-kraška;68
 ; ; ;Goriška;87
 ; ; ;Obalno-kraška;227
 ; ;2009;;
 ; ; ;Pomurska;266
 ; ; ;Podravska;593
 ; ; ;Koroška;138
 ; ; ;Savinjska;347
 ; ; ;Zasavska;82
 ; ; ;Posavska;169
 ; ; ;Jugovzhodna Slovenija;210
 ; ; ;Osrednjeslovenska;942
 ; ; ;Gorenjska;409
 ; ; ;Primorsko-kraška;88
 ; ; ;Goriška;167
 ; ; ;Obalno-kraška;306
 ; ;2010;;
 ; ; ;Pomurska;234
 ; ; ;Podravska;673
 ; ; ;Koroška;140
 ; ; ;Savinjska;478
 ; ; ;Zasavska;84
 ; ; ;Posavska;123
 ; ; ;Jugovzhodna Slovenija;194
 ; ; ;Osrednjeslovenska;1028
 ; ; ;Gorenjska;407
 ; ; ;Primorsko-kraška;93
 ; ; ;Goriška;170
 ; ; ;Obalno-kraška;281
 ; ;2011;;
 ; ; ;Pomurska;287
 ; ; ;Podravska;789
 ; ; ;Koroška;140
 ; ; ;Savinjska;492
 ; ; ;Zasavska;76
 ; ; ;Posavska;129
 ; ; ;Jugovzhodna Slovenija;243
 ; ; ;Osrednjeslovenska;1447
 ; ; ;Gorenjska;512
 ; ; ;Primorsko-kraška;109
 ; ; ;Goriška;177
 ; ; ;Obalno-kraška;278
 ; ;2012;;
 ; ; ;Pomurska;896
 ; ; ;Podravska;1807
 ; ; ;Koroška;202
 ; ; ;Savinjska;877
 ; ; ;Zasavska;120
 ; ; ;Posavska;246
 ; ; ;Jugovzhodna Slovenija;379
 ; ; ;Osrednjeslovenska;2007
 ; ; ;Gorenjska;755
 ; ; ;Primorsko-kraška;166
 ; ; ;Goriška;318
 ; ; ;Obalno-kraška;418
 ; ;2013;;
 ; ; ;Pomurska;548
 ; ; ;Podravska;1569
 ; ; ;Koroška;277
 ; ; ;Savinjska;695
 ; ; ;Zasavska;154
 ; ; ;Posavska;201
 ; ; ;Jugovzhodna Slovenija;349
 ; ; ;Osrednjeslovenska;2302
 ; ; ;Gorenjska;863
 ; ; ;Primorsko-kraška;132
 ; ; ;Goriška;245
 ; ; ;Obalno-kraška;454
 ; ;2014;;
 ; ; ;Pomurska;468
 ; ; ;Podravska;1425
 ; ; ;Koroška;322
 ; ; ;Savinjska;789
 ; ; ;Zasavska;154
 ; ; ;Posavska;223
