Meddržavne selitve po: SELITVE, STAROSTNE SKUPINE, LETO, SPOL ,;;;;;
DRŽAVLJANSTVO;;;;;
;;;;;
Priseljeni iz tujine;;;;;
Priseljeni iz tujine;Starostne skupine - SKUPAJ;;;;
Priseljeni iz tujine;Starostne skupine - SKUPAJ;2000;;;
 ; ; ; ;Tuji državljani;249
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;26
 ; ; ; ;Tuji državljani;205
 ; ;2014;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;34
 ; ; ; ;Tuji državljani;257
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;39
 ; ; ; ;Tuji državljani;209
 ; ;2015;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;36
 ; ; ; ;Tuji državljani;379
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;42
 ; ; ; ;Tuji državljani;279
 ;15-19 let;;;;
 ; ;2000;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;26
 ; ; ; ;Tuji državljani;152
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;35
 ; ; ; ;Tuji državljani;94
 ; ;2001;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;30
 ; ; ; ;Tuji državljani;169
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;20
 ; ; ; ;Tuji državljani;138
 ; ;2002;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;40
 ; ; ; ;Tuji državljani;250
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;20
 ; ; ; ;Tuji državljani;150
 ; ;2003;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;27
 ; ; ; ;Tuji državljani;286
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;20
 ; ; ; ;Tuji državljani;161
 ; ;2004;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;39
 ; ; ; ;Tuji državljani;414
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;27
 ; ; ; ;Tuji državljani;174
 ; ;2005;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;42
 ; ; ; ;Tuji državljani;612
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;31
 ; ; ; ;Tuji državljani;274
 ; ;2006;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;43
